"기관명","홈페이지주소","오픈일자"
"서울특별시 은평구","http://www.ep.go.kr","2009-02-20"
"국민권익위원회","http://www.acrc.go.kr","2009-02-20"
"대검찰청 기획조정부 정보통신과","http://www.spo.go.kr","2009-02-20"
"행정안전부 지방행정연수원 기획지원부 기획협력과","http://www.logodi.go.kr","2009-02-20"
"국가보훈처","http://www.mpva.go.kr","2009-02-20"
"국방부 국방정책실 국방교육정책관 정책홍보과","http://www.mnd.go.kr","2009-02-20"
"국무총리비서실","http://www.pmo.go.kr","2009-02-20"
"전라남도목포교육청","http://www.mpe.go.kr","2009-02-27"
"충청북도교육청 충청북도음성교육청","http://www.cbuse.go.kr","2009-02-27"
"전라남도고흥교육청","http://www.ghed.go.kr","2009-02-27"
"충청남도교육청 충청남도논산교육청 학무과","http://www.cnnse.go.kr","2009-02-27"
"전라남도광양교육청","http://www.jngyed.go.kr","2009-02-27"
"전라남도영광교육청","http://www.jnyged.go.kr","2009-02-27"
"충청남도교육청 충청남도아산교육지원청","https://www.cnased.go.kr","2009-02-27"
"경상북도 성주군","http://www.sj.go.kr","2009-02-27"
"창원도서관","http://www.changwon-lib.or.kr","2009-02-27"
"전라북도순창교육청","http://www.jbsce.kr","2009-02-27"
"전라북도전주교육청","http://afterschool.jbjje.kr","2009-02-27"
"전라북도전주교육청","http://www.jbjje.kr","2009-02-27"
"경상남도 함안군","http://www.haman.go.kr","2009-02-27"
"부산광역시해운대교육청","http://haeundae.pen.go.kr","2009-02-27"
"인천광역시 상수도사업본부","http://waterworksh.incheon.kr","2009-02-27"
"서울특별시교육청 서울특별시성북교육청 관리국 관리과","http://www.sensb.go.kr","2009-02-27"
"경상남도 김해시","http://www.gimhae.go.kr","2009-02-27"
"법무부 서울출입국관리사무소","http://www.hikorea.go.kr","2009-02-27"
"국토해양부 여수지방해양항만청 항만물류과","http://yeosu.mof.go.kr","2009-02-27"
"외교통상부 재외동포영사국 재외국민보호과","http://www.0404.go.kr","2009-02-27"
"대구광역시교육청 대구광역시교육정보원 교수학습지원부","http://www.derii.go.kr","2009-02-27"
"인천광역시교육청 교육국 정보직업교육과","http://www.ice.go.kr","2009-02-27"
"경상남도 산청군","http://www.sancheong.go.kr","2009-02-27"
"국토해양부 국립해양조사원 총무과","http://www.khoa.go.kr","2009-02-27"
"서울특별시서부교육청","http://www.sens.go.kr","2009-02-27"
"옥천도서관","http://www.oclib.go.kr","2009-02-27"
"전라남도 완도군","http://www.wando.go.kr","2009-02-27"
"충청남도 당진시","http://www.dangjin.go.kr","2009-02-27"
"기상청 기후국","http://www.climate.go.kr","2009-02-27"
"대전광역시 중구","http://www.djjunggu.go.kr","2009-02-27"
"인천중부경찰서","http://jb.icpolice.go.kr","2009-02-27"
"경상북도경주교육청","http://www.kbgjed.go.kr","2009-02-27"
"충청남도 서산시","http://www.seosan.go.kr","2009-02-27"
"부산광역시 서구","http://www.bsseogu.go.kr","2009-02-27"
"인천광역시 중구","http://www.icjg.go.kr","2009-02-27"
"국립문화재연구소","http://www.nrich.go.kr","2009-02-27"
"광주광역시 남구","http://www.namgu.gwangju.kr","2009-03-06"
"전라북도교육청 전라북도고창교육청","http://www.jbgce.kr","2009-03-06"
"경상북도교육청","http://www.gbe.kr","2009-03-06"
"중소기업청 기획조정관 고객정보화담당관","http://xxx.bizinfo.go.kr","2009-03-06"
"출입국외국인정책본부","http://www.immigration.go.kr","2009-03-06"
"전라북도부안교육청","http://www.jbbae.go.kr","2009-03-06"
"전라북도 문화체육관광국 관광산업과","http://www.gojb.net","2009-03-06"
"대구광역시 수성구","http://www.suseong.kr","2009-03-06"
"대구광역시 달서구","http://www.dalseo.daegu.kr","2009-03-06"
"경찰청 광주광역시지방경찰청 경무과","http://www.gjpolice.go.kr","2009-03-06"
"경찰청 제주특별자치도지방경찰청 경무과","http://jjpolice.go.kr","2009-03-06"
"충청남도 백제문화권관리사업소","http://www.bhm.or.kr","2009-03-06"
"대구광역시동부교육청","http://www.dgdbe.go.kr","2009-03-06"
"국회예산정책처","http://www.nabo.go.kr","2009-03-06"
"경기도 동두천시","http://www.ddc.go.kr","2009-03-06"
"경기도 파주시","http://www.paju.go.kr","2009-03-06"
"해양경찰청","http://www.kcg.go.kr","2009-03-06"
"문화체육관광부 국립중앙도서관 기획연수부 정보화담","http://www.nl.go.kr","2009-03-27"
"전라남도나주교육청","http://www.najued.go.kr","2009-03-27"
"부여군농업기술센터","http://www.buyeonongup.go.kr","2009-03-27"
"경상남도교육청 마산도서관 사서과","http://www.masanlib.or.kr","2009-03-27"
"충청북도 보은군","http://www.boeun.go.kr","2009-03-27"
"강원도 강릉시 평생학습도시추진단","http://cyber.gn.go.kr","2009-03-27"
