,기관명,홈페이지주소,오픈일자,오픈연도
299,울산중부도서관,http://www.usjl.or.kr,2009-02-20,2009 연도
300,전라남도강진교육청,http://www.gjed.go.kr,2009-02-20,2009 연도
301,서울특별시중부&#44389;육청,http://www.senjb.go.kr,2009-02-20,2009 연도
302,전라남도 고흥군,http://www.goheung.go.kr,2009-02-20,2009 연도
303,충청남도 천안시,http://www.cheonan.go.kr,2009-02-20,2009 연도
304,경상북도교육청 경상북도안동교육청 관리과,http://www.kbade.kr,2009-02-20,2009 연도
305,충청남도서천교육청,http://www.cnsce.go.kr,2009-02-20,2009 연도
306,농림수산식품부 국립종자원,http://www.seed.go.kr,2009-02-20,2009 연도
307,경상남도함안교육청,http://www.gnhme.go.kr,2009-02-20,2009 연도
308,국토해양부,http://luris.molit.go.kr,2009-02-20,2009 연도
309,경기도 양주시,http://www.yangju.go.kr,2009-02-20,2009 연도
310,경상남도김해교육청,http://www.gnghe.go.kr,2009-02-20,2009 연도
311,부산광역시 부산진구,http://www.busanjin.go.kr,2009-02-20,2009 연도
312,국방부 공군 교육사령부,http://atc.airforce.mil.kr:7030,2009-02-20,2009 연도
313,공군사관학교,http://www.afa.ac.kr,2009-02-20,2009 연도
314,국방부,http://www.edunavy.mil.kr,2009-02-20,2009 연도
315,광주광역시교육청,http://www.gen.go.kr,2009-02-20,2009 연도
316,울산광역시 동구,http://www.donggu.ulsan.kr,2009-02-20,2009 연도
317,경상북도 문경시청,http://tour.gbmg.go.kr,2009-02-20,2009 연도
318,강원도 양구군,http://www.yanggu.go.kr,2009-02-20,2009 연도
319,대구광역시달성교육청,http://www.dgdse.go.kr,2009-02-20,2009 연도
320,인천서부경찰서,http://sb.icpolice.go.kr,2009-02-20,2009 연도
321,경상남도 창원시,http://changwon.go.kr,2009-02-20,2009 연도
322,경상남도교육청 경상남도창녕교육청 교육과,http://www.educn.kr,2009-02-20,2009 연도
323,인천광역시 연수구,http://www.yeonsu.go.kr,2009-02-20,2009 연도
324,울산광역시 중구,http://www.junggu.ulsan.kr,2009-02-20,2009 연도
325,충청북도 청주시,http://www.cheongju.go.kr,2009-02-20,2009 연도
326,인천광역시 남동구,http://www.namdong.go.kr,2009-02-20,2009 연도
327,재단법인경기영어마을,http://english-village.gg.go.kr,2009-02-20,2009 연도
328,서울특별시 은평구,http://www.ep.go.kr,2009-02-20,2009 연도
329,국민권익위원회,http://www.acrc.go.kr,2009-02-20,2009 연도
330,대검찰청 기획조정부 정보통신과,http://www.spo.go.kr,2009-02-20,2009 연도
331,행정안전부 지방행정연수원 기획지원부 기획협력과,http://www.logodi.go.kr,2009-02-20,2009 연도
332,국가보훈처,http://www.mpva.go.kr,2009-02-20,2009 연도
