시군명,읍면동명,등록동물수(마리),(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록소유자수,데이터기준일자,,,,
수원시,인계동,3102,2153,687,262,2303,2021-06-18,,,,
수원시,입북동,314,153,116,45,253,2021-06-18,,,,
수원시,장안동,77,50,17,10,58,2021-06-18,,,,
수원시,장지동,16,11,5,0,12,2021-06-18,,,,
수원시,정자동,4448,3073,1003,372,3519,2021-06-18,,,,
수원시,조원동,2951,1992,657,302,2307,2021-06-18,,,,
수원시,중동,30,26,4,0,19,2021-06-18,,,,
수원시,지동,1019,736,204,79,722,2021-06-18,,,,
수원시,천천동,1319,914,300,105,1098,2021-06-18,,,,
수원시,탑동,1420,929,317,174,1056,2021-06-18,,,,
수원시,파장동,1154,777,260,117,914,2021-06-18,,,,
수원시,팔달로1가,23,18,1,4,15,2021-06-18,,,,
수원시,팔달로2가,45,29,15,1,30,2021-06-18,,,,
수원시,팔달로3가,38,19,12,7,26,2021-06-18,,,,
수원시,평동,132,86,32,14,105,2021-06-18,,,,
수원시,평리동,3,3,0,0,3,2021-06-18,,,,
수원시,하광교동,24,13,10,1,16,2021-06-18,,,,
수원시,하동,1452,742,562,148,1064,2021-06-18,,,,
수원시,호매실동,1831,1062,538,231,1415,2021-06-18,,,,
수원시,화서동,2752,1774,671,307,2158,2021-06-18,,,,
시흥시,거모동,1673,1115,408,150,1239,2021-06-25,,,,
시흥시,계수동,103,71,15,17,64,2021-06-25,,,,
시흥시,과림동,104,34,41,29,52,2021-06-25,,,,
시흥시,광석동,22,14,5,3,14,2021-06-25,,,,
시흥시,군자동,85,48,14,23,50,2021-06-25,,,,
시흥시,금이동,38,22,10,6,18,2021-06-25,,,,
시흥시,논곡동,255,154,86,15,198,2021-06-25,,,,
시흥시,능곡동,1130,737,243,150,868,2021-06-25,,,,
시흥시,대야동,2336,1723,427,186,1733,2021-06-25,,,,
시흥시,도창동,208,145,43,20,153,2021-06-25,,,,
시흥시,매화동,631,385,171,75,440,2021-06-25,,,,
시흥시,목감동,213,125,71,17,166,2021-06-25,,,,
시흥시,무지내동,49,14,9,26,21,2021-06-25,,,,
시흥시,물왕동,16,13,2,1,13,2021-06-25,,,,
시흥시,미산동,350,243,83,24,240,2021-06-25,,,,
시흥시,방산동,64,46,11,7,38,2021-06-25,,,,
시흥시,산현동,340,187,101,52,256,2021-06-25,,,,
시흥시,신천동,2970,2138,571,261,2254,2021-06-25,,,,
시흥시,안현동,65,30,8,27,29,2021-06-25,,,,
시흥시,월곶동,1068,674,209,185,784,2021-06-25,,,,
시흥시,은행동,2641,1708,593,340,2084,2021-06-25,,,,
시흥시,장곡동,968,569,264,135,774,2021-06-25,,,,
시흥시,장현동,430,249,114,67,320,2021-06-25,,,,
시흥시,정왕동,11923,8369,2543,1011,9036,2021-06-25,,,,
시흥시,조남동,1127,646,327,154,870,2021-06-25,,,,
시흥시,죽율동,292,179,75,38,204,2021-06-25,,,,
시흥시,포동,388,242,94,52,291,2021-06-25,,,,
시흥시,하상동,499,333,105,61,390,2021-06-25,,,,
시흥시,하중동,539,339,124,76,389,2021-06-25,,,,
시흥시,화정동,12,11,1,0,6,2021-06-25,,,,
안산시,건건동,736,393,206,137,550,2021-08-26,,,,
안산시,고잔동,5802,3177,1635,990,4540,2021-08-26,,,,
안산시,대부남동,153,55,37,61,88,2021-08-26,,,,
안산시,대부동동,151,69,44,38,86,2021-08-26,,,,
안산시,대부북동,202,105,52,45,121,2021-08-26,,,,
안산시,목내동,7,3,2,2,5,2021-08-26,,,,
안산시,본오동,5699,2862,1626,1211,4172,2021-08-26,,,,
안산시,부곡동,2385,1208,677,500,1704,2021-08-26,,,,
안산시,사동,5766,2793,1672,1301,4376,2021-08-26,,,,
안산시,사사동,145,66,40,39,100,2021-08-26,,,,
안산시,선감동,33,11,10,12,18,2021-08-26,,,,
안산시,선부동,4180,2422,1145,613,3196,2021-08-26,,,,
안산시,성곡동,36,27,8,1,19,2021-08-26,,,,
안산시,성포동,1527,869,414,244,1211,2021-08-26,,,,
안산시,수암동,382,203,104,75,287,2021-08-26,,,,
안산시,신길동,1313,759,358,196,992,2021-08-26,,,,
안산시,양상동,40,20,13,7,25,2021-08-26,,,,
안산시,와동,3331,2012,771,548,2384,2021-08-26,,,,
안산시,원곡동,1816,1259,351,206,1458,2021-08-26,,,,
안산시,원시동,27,11,6,10,17,2021-08-26,,,,
안산시,월피동,2293,1213,656,424,1730,2021-08-26,,,,
안산시,이동,1545,830,418,297,1138,2021-08-26,,,,
안산시,일동,2182,1089,673,420,1602,2021-08-26,,,,
안산시,장상동,232,113,69,50,151,2021-08-26,,,,
안산시,장하동,21,9,8,4,10,2021-08-26,,,,
안산시,초지동,2644,1466,605,573,2054,2021-08-26,,,,
안산시,팔곡이동,260,132,67,61,172,2021-08-26,,,,
안산시,팔곡일동,144,70,30,44,90,2021-08-26,,,,
안산시,풍도동,2,0,0,2,1,2021-08-26,,,,
안산시,합계,43079,23260,11704,8115,32317,2021-08-26,,,,
안산시,화정동,25,14,7,4,20,2021-08-26,,,,
안성시,가사동,67,43,14,10,54,2021-09-06,,,,
안성시,가현동,57,35,10,12,23,2021-09-06,,,,
안성시,계동,22,10,6,6,16,2021-09-06,,,,
안성시,고삼면,170,56,55,59,87,2021-09-06,,,,
안성시,공도읍,2737,1297,1015,425,2030,2021-09-06,,,,
안성시,구포동,27,11,8,8,22,2021-09-06,,,,
안성시,금광면,425,206,113,106,279,2021-09-06,,,,
안성시,금산동,207,106,59,42,168,2021-09-06,,,,
안성시,금석동,72,44,15,13,55,2021-09-06,,,,
안성시,낙원동,67,27,30,10,56,2021-09-06,,,,
안성시,당왕동,506,251,163,92,400,2021-09-06,,,,
안성시,대덕면,817,391,263,163,577,2021-09-06,,,,
안성시,대천동,28,17,7,4,21,2021-09-06,,,,
안성시,도기동,107,48,15,44,65,2021-09-06,,,,
안성시,동본동,17,7,8,2,15,2021-09-06,,,,
안성시,명륜동,49,21,14,14,34,2021-09-06,,,,
안성시,미양면,390,225,72,93,200,2021-09-06,,,,
안성시,발화동,6,3,1,2,4,2021-09-06,,,,
안성시,보개면,410,227,116,67,220,2021-09-06,,,,
안성시,봉남동,38,15,17,6,28,2021-09-06,,,,
안성시,봉산동,140,83,43,14,102,2021-09-06,,,,
